timestamp,armed,prearmed,ready_to_arm,lockdown,manual_lockdown,force_failsafe,in_esc_calibration_mode,soft_stop
1091796475,1,1,1,0,0,0,0,1
1092303494,1,1,1,0,0,0,0,1
1092809483,1,1,1,0,0,0,0,1
1093315785,1,1,1,0,0,0,0,1
1093822221,1,1,1,0,0,0,0,1
1094329777,1,1,1,0,0,0,0,1
1094837492,1,1,1,0,0,0,0,1
1095343720,1,1,1,0,0,0,0,1
1095849475,1,1,1,0,0,0,0,1
1096355476,1,1,1,0,0,0,0,1
1096862494,1,1,1,0,0,0,0,1
1097368475,1,1,1,0,0,0,0,1
1097875493,1,1,1,0,0,0,0,1
1098381817,1,1,1,0,0,0,0,1
1098887494,1,1,1,0,0,0,0,1
1099393943,1,1,1,0,0,0,0,1
1099899487,1,1,1,0,0,0,0,1
1100407599,1,1,1,0,0,0,0,1
1100913540,1,1,1,0,0,0,0,1
1101421735,1,1,1,0,0,0,0,1
1101928474,1,1,1,0,0,0,0,1
1102436780,1,1,1,0,0,0,0,1
1102944962,1,1,1,0,0,0,0,1
1103450538,1,1,1,0,0,0,0,1
1103956979,1,1,1,0,0,0,0,1
1104464070,1,1,1,0,0,0,0,1
1104969545,1,1,1,0,0,0,0,1
1105476476,1,1,1,0,0,0,0,1
1105982495,1,1,1,0,0,0,0,1
1106489628,1,1,1,0,0,0,0,1
1106995516,1,1,1,0,0,0,0,1
1107502475,1,1,1,0,0,0,0,1
1108008475,1,1,1,0,0,0,0,1
1108514525,1,1,1,0,0,0,0,1
1109020607,1,1,1,0,0,0,0,1
1109526476,1,1,1,0,0,0,0,1
1110033651,1,1,1,0,0,0,0,1
1110540997,1,1,1,0,0,0,0,1
1111046896,1,1,1,0,0,0,0,1
1111552747,1,1,1,0,0,0,0,1
1112059474,1,1,1,0,0,0,0,1
1112565476,1,1,1,0,0,0,0,1
1113071492,1,1,1,0,0,0,0,1
1113579474,1,1,1,0,0,0,0,1
1114085476,1,1,1,0,0,0,0,1
1114591495,1,1,1,0,0,0,0,1
1115097475,1,1,1,0,0,0,0,1
1115603474,1,1,1,0,0,0,0,1
1116109475,1,1,1,0,0,0,0,1
1116616520,1,1,1,0,0,0,0,1
1117122743,1,1,1,0,0,0,0,1
1117629490,1,1,1,0,0,0,0,1
1118135476,1,1,1,0,0,0,0,1
1118642492,1,1,1,0,0,0,0,1
1119148495,1,1,1,0,0,0,0,1
1119654474,1,1,1,0,0,0,0,1
1120161547,1,1,1,0,0,0,0,1
1120667475,1,1,1,0,0,0,0,1
1121173474,1,1,1,0,0,0,0,1
1121681497,1,1,1,0,0,0,0,1
1122188496,1,1,1,0,0,0,0,1
1122695697,1,1,1,0,0,0,0,1
1123201477,1,1,1,0,0,0,0,1
1123707475,1,1,1,0,0,0,0,1
1124213493,1,1,1,0,0,0,0,1
