timestamp,airspeed_filtered,mc_weights[0],mc_weights[1],mc_weights[2],mc_weights[3],vtol_in_rw_mode,vtol_in_trans_mode,in_transition_to_fw,vtol_transition_failsafe,fw_permanent_stab
1930621060,-1.9387571,1.0,1.0,1.0,1.0,1,0,0,0,0
1930824901,-1.9425957,1.0,1.0,1.0,1.0,1,0,0,0,0
1931023936,-1.2469792,1.0,1.0,1.0,1.0,1,0,0,0,0
1931222896,-0.7342924,1.0,1.0,1.0,1.0,1,0,0,0,0
1931421893,-0.3210728,1.0,1.0,1.0,1.0,1,0,0,0,0
1931623317,-0.7156895,1.0,1.0,1.0,1.0,1,0,0,0,0
1931821789,-1.0283751,1.0,1.0,1.0,1.0,1,0,0,0,0
1932020680,-1.2819217,1.0,1.0,1.0,1.0,1,0,0,0,0
1932222079,-1.4996068,1.0,1.0,1.0,1.0,1,0,0,0,0
1932423548,-1.627222,1.0,1.0,1.0,1.0,1,0,0,0,0
1932622400,-1.8363353,1.0,1.0,1.0,1.0,1,0,0,0,0
1932823889,-2.1944122,1.0,1.0,1.0,1.0,1,0,0,0,0
1933022764,-2.314178,1.0,1.0,1.0,1.0,1,0,0,0,0
1933420626,-1.9700016,1.0,1.0,1.0,1.0,1,0,0,0,0
1933622091,-2.129638,1.0,1.0,1.0,1.0,1,0,0,0,0
1933823471,-2.2869601,1.0,1.0,1.0,1.0,1,0,0,0,0
1934022415,-2.2601793,1.0,1.0,1.0,1.0,1,0,0,0,0
1934223766,-2.4279227,1.0,1.0,1.0,1.0,1,0,0,0,0
1934422699,-2.494315,1.0,1.0,1.0,1.0,1,0,0,0,0
1934621591,-1.9933038,1.0,1.0,1.0,1.0,1,0,0,0,0
1934820639,-1.9876754,1.0,1.0,1.0,1.0,1,0,0,0,0
1935022021,-1.9849573,1.0,1.0,1.0,1.0,1,0,0,0,0
1935223374,-1.9241928,1.0,1.0,1.0,1.0,1,0,0,0,0
1935424774,-1.5799804,1.0,1.0,1.0,1.0,1,0,0,0,0
1935623766,-1.2955368,1.0,1.0,1.0,1.0,1,0,0,0,0
1935822637,-1.311192,1.0,1.0,1.0,1.0,1,0,0,0,0
