timestamp,device_id,min_distance,max_distance,current_distance,variance,h_fov,v_fov,q[0],q[1],q[2],q[3],signal_quality,type,orientation
253078525,7562769,0.2,200.0,0.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,25
254057272,7562769,0.2,200.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,25
255062654,7562769,0.2,200.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,25
256067595,7562769,0.2,200.0,0.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,25
257073358,7562769,0.2,200.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,25
258078309,7562769,0.2,200.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,25
259057886,7562769,0.2,200.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,25
260062965,7562769,0.2,200.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,25
261068334,7562769,0.2,200.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,25
262074338,7562769,0.2,200.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,25
263079010,7562769,0.2,200.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,25
264058171,7562769,0.2,200.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,25
265063692,7562769,0.2,200.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,25
266069007,7562769,0.2,200.0,0.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,25
267074772,7562769,0.2,200.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,25
268079759,7562769,0.2,200.0,0.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,25
269058393,7562769,0.2,200.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,25
270063978,7562769,0.2,200.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,25
271069341,7562769,0.2,200.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,25
272075200,7562769,0.2,200.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,25
273079863,7562769,0.2,200.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,25
274059314,7562769,0.2,200.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,25
275065190,7562769,0.2,200.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,25
276070329,7562769,0.2,200.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,25
277076455,7562769,0.2,200.0,0.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,25
278055117,7562769,0.2,200.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,25
279060155,7562769,0.2,200.0,0.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,25
280064918,7562769,0.2,200.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,25
281069917,7562769,0.2,200.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,25
282075412,7562769,0.2,200.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,25
283081070,7562769,0.2,200.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,25
284060370,7562769,0.2,200.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,25
285065985,7562769,0.2,200.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,25
286071363,7562769,0.2,200.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,25
287077079,7562769,0.2,200.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,25
288081907,7562769,0.2,200.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,25
289061033,7562769,0.2,200.0,0.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,25
290066971,7562769,0.2,200.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,25
291072120,7562769,0.2,200.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,25
292077401,7562769,0.2,200.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,25
293056554,7562769,0.2,200.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,25
294062594,7562769,0.2,200.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,25
295068489,7562769,0.2,200.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,25
296073378,7562769,0.2,200.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,25
297079035,7562769,0.2,200.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,25
298057318,7562769,0.2,200.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,25
299063201,7562769,0.2,200.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,25
300068576,7562769,0.2,200.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,25
301074699,7562769,0.2,200.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,25
302079767,7562769,0.2,200.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,25
303058814,7562769,0.2,200.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,25
304064553,7562769,0.2,200.0,0.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,25
305070105,7562769,0.2,200.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,25
306075159,7562769,0.2,200.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,25
307080528,7562769,0.2,200.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,25
308059210,7562769,0.2,200.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,25
309064709,7562769,0.2,200.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,25
310069808,7562769,0.2,200.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,25
311075673,7562769,0.2,200.0,0.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,25
312080793,7562769,0.2,200.0,0.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,25
313059955,7562769,0.2,200.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,25
314064913,7562769,0.2,200.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,25
315069940,7562769,0.2,200.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,25
316075191,7562769,0.2,200.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,25
317054314,7562769,0.2,200.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,25
318059696,7562769,0.2,200.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,25
319064627,7562769,0.2,200.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,25
320070365,7562769,0.2,200.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,25
321075478,7562769,0.2,200.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,25
322080230,7562769,0.2,200.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,25
323059562,7562769,0.2,200.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,25
324065165,7562769,0.2,200.0,0.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,25
326076958,7562769,0.2,200.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,25
327056623,7562769,0.2,200.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,25
328061577,7562769,0.2,200.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,25
329067092,7562769,0.2,200.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,25
330073187,7562769,0.2,200.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,25
331078922,7562769,0.2,200.0,0.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,25
332057554,7562769,0.2,200.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,25
333063264,7562769,0.2,200.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,25
334069551,7562769,0.2,200.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,25
335075343,7562769,0.2,200.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,25
336080738,7562769,0.2,200.0,0.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,25
337059535,7562769,0.2,200.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,25
338065349,7562769,0.2,200.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,25
339070930,7562769,0.2,200.0,0.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,25
340076864,7562769,0.2,200.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,25
341056010,7562769,0.2,200.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,25
342061074,7562769,0.2,200.0,0.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,25
343066559,7562769,0.2,200.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,25
344071613,7562769,0.2,200.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,25
345077255,7562769,0.2,200.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,25
346056270,7562769,0.2,200.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,25
347061895,7562769,0.2,200.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,25
348068211,7562769,0.2,200.0,0.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,25
